Country Name,Confirmed Cases,New Cases,Deaths,New Deaths,Death Rate,Serious & Critical,Recovered
St. Kitts and Nevis,11,0,0,0,0.00%,N/A,0
Seychelles,11,0,0,0,0.00%,1,0
Zimbabwe,11,0,2,0,18.18%,0,0
Somalia,11,0,1,0,9.09%,N/A,1
Sudan,10,0,2,0,20.00%,N/A,N/A
Suriname,10,0,1,0,10.00%,N/A,3
Mozambique,10,0,0,0,0.00%,N/A,1
Chad,10,0,0,0,0.00%,N/A,2
Eswatini,10,0,0,0,0.00%,0,3
Nepal,9,0,0,0,0.00%,N/A,1
Central African Republic,9,0,0,0,0.00%,N/A,3
Malawi,8,0,1,0,12.50%,N/A,N/A
Turks and Caicos Islands,8,0,1,0,12.50%,N/A,0
Cape Verde,7,0,1,0,14.29%,0,0
Belize,7,0,1,0,14.29%,N/A,0
Vatican City,7,0,0,0,0.00%,N/A,N/A
Saint Vincent and the Grenadines,7,0,0,0,0.00%,N/A,1
Montserrat,7,0,0,0,0.00%,N/A,1
St. Barthélemy,6,0,0,0,0.00%,N/A,4
Mauritania,6,0,1,0,16.67%,0,2
Sierra Leone,6,0,0,0,0.00%,N/A,N/A
Botswana,6,0,1,0,16.67%,N/A,N/A
Nicaragua,6,0,1,0,16.67%,3,2
Bhutan,5,0,0,0,0.00%,N/A,2
The Gambia,4,0,1,0,25.00%,N/A,2
British Virgin Islands,3,0,0,0,0.00%,N/A,0
Anguilla,3,0,0,0,0.00%,N/A,N/A
Burundi,3,0,0,0,0.00%,N/A,N/A
Falkland Islands,2,0,0,0,0.00%,0,0
Papua New Guinea,2,0,0,0,0.00%,N/A,0
Timor-Leste,1,0,0,0,0.00%,N/A,N/A
South Sudan,1,0,0,0,0.00%,N/A,N/A
TOTAL,"1,519,208",0,"88,572",0,5.83%,"39,062","339,029"
